Region,Division,State,Abbrev,Year,Female,Male,Under_15,15_64,65_Over,Am_Indian,Asian,Black,White,Population,Owner,Renter,Households
2,3,Ohio,OH,1940,3446540,3461072,1578860,4789023,539729,338,1282,339461,6566531,6907612,948354,949442,1897796
3,7,Oklahoma,OK,1940,1154542,1181892,682883,1508617,144934,63125,232,168849,2104228,2336434,261162,349319,610481
4,9,Oregon,OR,1940,526995,562689,231305,765651,92728,4594,6794,2565,1075731,1089684,187044,150448,337492
1,2,Pennsylvania,PA,1940,4948973,4951207,2395586,6827126,677468,441,2578,470172,9426989,9900180,1154948,1360576,2515524
1,1,Rhode_Island,RI,1940,363942,349404,157800,501262,54284,196,321,11024,701805,713346,70190,117516,187706
3,5,South_Carolina,SC,1940,964565,935239,640685,1177805,81314,1234,98,814164,1084308,1899804,133279,301689,434968
2,4,South_Dakota,SD,1940,310447,332514,178429,420092,44440,23347,65,474,619075,642961,74388,91040,165428
3,6,Tennessee,TN,1940,1470012,1445829,856003,1888060,171778,114,85,508736,2406906,2915841,315182,399712,714894
3,7,Texas,TX,1940,3193721,3221103,1796567,4270762,347495,1103,1785,924391,5487545,6414824,717682,960714,1678396
4,8,Utah,UT,1940,271690,278620,172965,347130,30215,3611,2544,1235,542920,550310,85225,54262,139487
1,1,Vermont,VT,1940,177007,182224,92529,232210,34492,16,25,384,358806,359231,51709,40726,92435
3,5,Virginia,VA,1940,1328769,1349004,766832,1755997,154944,198,543,661449,2015583,2677773,306688,320844,627532
4,9,Washington,WA,1940,830434,905757,366522,1225349,144320,11394,19226,7424,1698147,1736191,306174,231163,537337
